,address,company
49,青岛市松岭路399号海信研发中心,青岛海信电器股份有限公司-海视云
50,海淀区杏石口路99号西山赢府E座4层,同方鼎欣科技股份有限公司
51,海淀区紫竹院路116号嘉豪国际中心B座2层,航天信息股份有限公司
52,北京市朝阳区光华路9号世贸天阶D座天阶大厦15层（北京总公司地址）,绫致时装（天津）有限公司
55,北京市西北旺东路10号院西区8号楼,新浪网
57,百度科技园3号楼,中软国际科技服务有限公司深圳分公司
59,PTA_BJ@pactera.com,文思海辉技术有限公司 Pactera Technology International Limited
60,北京市朝阳区安定路5号院7号楼中海国际中心A座7层,北京掌趣科技股份有限公司
61,昌平区建材城西路育新小区对面金燕龙办公楼传智播客,江苏传智播客教育科技股份有限公司北京分公司
62,北京市海淀区万柳亿城中心,北京明特量化信息技术有限公司
63,北京市朝阳区安贞桥北安定路39号 长新大厦6层611室,北京好巧国际旅行社有限公司
64,河南省郑州市金水区,河南奇酷信息技术有限公司
66,北京市朝阳区光华路7号汉威大厦7层,上海甦翔投资咨询有限公司 - 研发中心
68,海淀区杏石口路西山赢府国际商务中心,同方鼎欣科技股份有限公司
69,北京,马上消费金融股份有限公司
70,北京市 海淀区,阳光保险集团股份有限公司
71,北京市海淀区上地西路6号联想研究院,北京联想利泰软件有限公司
72,北京市海淀区上地信息产业基地开拓路7号先锋大厦,北京联想利泰软件有限公司
73,阿里巴巴集团,阿里巴巴集团
74,北京市朝阳区酒仙桥路4号宏源大厦22层,中科富创(北京)科技有限公司
75,北京市海淀区西三环北路72号世纪经贸大厦B座16层1608室,世纪文都教育科技集团股份有限公司
76,北京市朝阳区北苑路乙108号北美国际商务中心C1座,北京友缘在线网络科技股份有限公司
77,北京市海淀区上地三街金隅嘉华大厦C座1002,极客学院
78,北京市朝阳区北辰世纪中心A座926,上海飞观信息科技有限公司
79,北京市朝阳区北土城东路4号院1号楼3楼东侧,北京博派通达科技有限公司
80,朝阳区光华路SOHO二期C座3-1室,小付钱包技术(北京)有限公司
81,北京市海淀区中关村软件园2A楼2101,北京捷通华声科技股份有限公司
83,北京市朝阳区朝来科技园创远路36号院1号楼4层,小叶子(北京)科技有限公司
84,空港工业园区融慧园B座6号楼6层,北京百悟科技有限公司
85,北京市朝阳区左家庄1号国门大厦,北京多联元信息技术有限公司
86,北京市朝阳区东三环北路乙2号海南航空大厦B座5层,北京无双科技有限公司
87,北京市海淀区海淀文化艺术大厦B座8层,多点生活(中国)网络科技有限公司
88,北京市西城区北土城西路智选假日酒店,大连信雅达软件有限公司北京办事处
89,北京市昌平区龙域中街龙域中心b座9层,北京美洽网络科技有限公司
90,北京市海淀区黑泉路宝盛广场C座3层,北京能通天下网络技术有限公司
91,海淀区海淀东三街2号13层,北京点石经纬科技有限公司
92,北京市海淀区北清路中关村环保科技示范园锦带路88号院1号楼,北京佳讯飞鸿电气股份有限公司
94,北京市海淀区北四环西路56号辉煌时代大厦11层、15层,北京智慧星光信息技术有限公司
95,北京海淀区互联网金融中心六层,北京点石经纬科技有限公司
96,北京市朝阳区高井8号东亿国际传媒产业园c15,天津火星文化有限公司北京分公司
98,北京西二旗,中博睿智(北京)科技发展有限公司
99,北京市顺义区空港工业园B区巨鸿大厦A座一层,北京迈基诺基因科技股份有限公司
100,北京市东城区安外大街2号安贞大厦19层,北京信达泰和数据技术有限公司
101,北京市海淀区知春路,北京华信杰通科技有限公司
102,北京市海淀区农大南路一号硅谷亮城,北京中睿天下信息技术有限公司
103,北京市朝阳区北辰西路8号汇园酒店公寓H座901,广州杰颉软件科技有限公司
105,北京市朝阳区霄云路26号鹏润大厦A座31层,大公国际信用评级集团有限公司
106,北京市海淀区长春桥路11号万柳亿城大厦C1座12B,北京全品文教科技股份有限公司
108,北京市海淀区中关村丹棱街3号中国电子大厦B座706,环球合一网络技术(北京)股份有限公司
109,北京市顺义区机场东路国家地理信息产业园1A-4星图大厦,航天星图科技(北京)有限公司
113,北京市海淀区中关村东升科技园北领地,精硕科技(北京)股份有限公司
115,北京市朝阳区北辰世纪中心A926（15号线奥林匹克公园）,上海飞观信息科技有限公司
116,北京联想总部西区,郑州软通合力计算机技术有限公司
117,北京,北京华清远见科技信息有限公司
118,"北京市海淀区西三旗悦秀路北京明园大学,华清远见办公楼",北京华清远见科技信息有限公司
119,北京市海淀区西直门北大街甲43号金运大厦B座12层,博易智软(北京)技术股份有限公司
120,北京市海淀区西二旗盈创动力E栋801,北京大开科技有限公司
121,北京市海淀区上地东路1号华控大厦,北京天融信科技有限公司
122,北京市朝阳区绿地中心B座11层,北京盖娅互娱网络科技股份有限公司
123,北京市朝阳区酒仙桥北路甲10号院106号楼荣之联大厦,北京荣之联科技股份有限公司
124,北京市海淀区中关村东路1号院搜狐网络大厦,搜狗公司
125,北京市朝阳区阜通东大街18号天启大厦2310,北京智华信科技股份有限公司
126,北京市朝阳区北土城东路4号院1号楼3楼,北京博派通达科技有限公司
127,北京市海淀区上地东路1号院盈创动力大厦A座七层,北京中庆现代技术股份有限公司
130,北京市海淀区苏州街银科大厦610,深圳码隆科技有限公司
131,北京市丰台区总部基地五区13号楼4层,人人买(北京)网络科技有限公司
132,北京海淀区中关村南大街甲12号寰太大厦702室,北京神州泰岳信息工程技术有限公司
133,北京市海淀区上地软件园南路57号北京八维教育,北京八维研修学院
136,北京市东城区王府井西街9号东方文化大厦2-3层,银湖网络科技有限公司
137,北京市大兴工业开发区科苑路18号华商创意中心4号楼,北京汇商融通信息技术有限公司
138,北京市朝阳区远洋新干线A座602,极课大数据
139,北京市昌平区回龙观文华西路育荣教育园区LAMP兄弟连楼,易第优（北京）教育咨询股份有限公司
142,北京市朝阳区酒仙桥路10号恒通商务园B39楼A座,北京知趣科技有限公司
143,北京市朝阳区酒仙桥路14号兆维华灯大厦,北京墨迹风云科技股份有限公司
144,北京市朝阳区酒仙桥路6号院（电子城-国际电子总部）2号楼,北京奇安信科技有限公司
145,北京市丰台区南四环西路186号汉威国际广场,北京商高科技有限公司
146,北京大兴区生物医药基地,北京财经专修学院
147,北京市朝阳区东三环北路28号博瑞大厦B座,北京复华卓越商业管理有限公司
148,10号线北土城,世纪爱心国际投资集团有限公司
149,北京市海淀区东冉北街9号宝蓝金园（互联网金融产业园）B3010室,北京首都在线科技股份有限公司
150,总公司：北京市丰台区洋桥12号天路蓝图大厦,拓天伟业(北京)资产管理集团有限公司
151,北京市昌平区回龙观东大街338号创客广场,北京若森数字科技有限公司
152,北京朝阳区望京,恩梯梯数据(中国)有限公司上海分公司
154,北京市朝阳区北辰国际中心A座926,上海飞观信息科技有限公司
155,北京市10号线北土城站,世纪爱心国际投资集团有限公司
156,北京睿思博考教育科技有限公司,北京睿思博考教育科技有限公司
157,北京市海淀区彩和坊路8号天创科技大厦5层512（乘二号梯））,上海诚信互通网络信息科技有限公司
159,北京市海淀区奥北科技园,北京华云网际科技有限公司
161,北京市海淀区中关村大街18号科贸写字楼23层,北京四通工控技术有限公司
162,北京市朝阳区安定路5号院7号楼中海国际中心A座7层,北京玩蟹科技有限公司
163,北京市海淀区蓝靛厂南路55号金威大厦9层903,北京奇安信科技有限公司
165,北京市海淀区北清路68号院23号楼四层,杭州迪普科技股份有限公司北京技术开发中心
167,北京市朝阳区广顺北大街33号福码大厦A座16层,北京容联易通信息技术有限公司
169,酒仙桥6号院360大厦,360金融
173,北京市 朝阳区 朝阳区 新源南路1-3号,上海宣郝信息技术有限公司
176,北京市海淀区上地创新大厦三层,星河互联集团有限公司
177,朝阳区望京SOHOT2B0302,微租联盟(北京)汽车科技有限公司
178,北京市朝阳区尚八里文创园E座9层,数联道(北京)科技有限公司
179,北京市海淀区知春路9号坤讯大厦7-9层,东信北邮信息技术有限公司
183,北京市海淀区复兴路65号电信实业大厦二层西区,北京根网科技有限公司
185,北京市海淀区京门,北京斯普信信息技术有限公司
189,北京、上海、深圳、成都、南京、武汉、西安、广州，详细地址见上方,北京华清远见科技信息有限公司
190,北京市石景山区西井路17号诚海大厦4层,北京银河长兴影视文化传播股份有限公司
191,清河中街五彩城,北京思迪康泰科技有限公司
192,山东省聊城市高新区庐山南路与黄河路交汇处向南200米路东,找伙伴(北京)信息技术股份公司
193,北京市朝阳区,北京易联戴维企业管理服务有限责任公司
194,北京星河聘快线科技有限公司,北京星河聘快线科技有限公司
195,北京市昌平区北七家镇未来科技城南区中国电子信息安全技术研发基地B栋5层,中电长城网际系统应用有限公司
196,北京市通州区,华兴创信(北京)科技有限公司
197,北京市海淀区厂洼街3号丹龙大厦,北京国富如荷网络科技有限公司
198,北京银通易汇科技有限公司,北京银通易汇科技有限公司
199,北京市海淀区闵庄路3号清华科技园玉泉慧谷一期1号楼,北京安天网络安全技术有限公司
200,北京市朝阳区光华路甲9号世贸商务楼5层,北京图森未来科技有限公司
201,尚都国际中心A座1205,北京斯图飞腾科技有限公司
202,厦门市思明区软件园二期观日路28号102室,厦门晨华贸易有限公司
203,北京市海淀区,北京信邦安达信息科技股份有限公司
204,北京市海淀区展春园西路HomeX五道口加速器309室,北京焱融科技有限公司
205,北京东城区朝阳门银河SOHOD座50519号,律品汇科技（北京）有限公司
207,北京市中关村东路66号世纪科贸大厦B座1109,北京号外科技有限公司
208,北京市海淀区上地四街1号院3号楼5层,北京傲盾软件有限责任公司
209,海淀区西二旗辉煌国际一号楼1607,北京高梓行远科技有限公司
210,北京市朝阳区SOHO现代城A座701,乐飞天下信息技术(北京)有限公司
211,北京市海淀区上地三街金隅嘉华大厦A座410室,北京硬球科技有限公司
212,河北省石家庄市桥西区新石北路368号金石工业园创新大厦315室,河北戴纳米克科技有限公司
213,北京市海淀区北三环西路辅路甲18号中坤广场E座628室,易思互动(北京)科技有限公司
214,北京市朝阳区国贸建外soho西区14号楼1106,乐飞天下信息技术(北京)有限公司
215,北京市朝阳区望京SOHO T1 C座,超对称(北京)科技有限公司
216,北京市海淀区科学院南路2号融科资讯中心B座11F,北京原子钟信息科技有限公司
217,北京市朝阳区郎家园6号院3号楼4层,果壳网
218,北京市海淀区西北旺联想总部（北京）园区,北京未来云科技有限公司
219,北京市海淀区西北旺东路10号院21号楼  汇冠大厦5层,北京汇冠新技术股份有限公司
220,西二旗地铁口,北京兴竹同智信息技术股份有限公司
221,亮马桥,Symbio 北京研发中心
222,北京经济技术开发区地盛北街数码庄园B1座,北京新网数码信息技术有限公司
223,北京海淀区中关村南大街甲18号北京·国际C座,北京中创信测科技股份有限公司
224,北京市西直门内大街118号,中国电信集团系统集成有限责任公司
225,北京市丰台区南四环西路188号十八区7号楼8层,银河互联网电视有限公司
230,北京市朝阳区阜通东路6号方恒国际中心,北京智软英才管理咨询有限公司
231,北京市海淀区上地信息路10号,北京南天软件有限公司
232,北京市海淀区花园路戛纳3号楼2单元1305,北京战策互动科技有限公司
234,北京市中关村,思沃创智信息技术(北京)有限公司
235,郑州市科学大道53号中原国家广告产业园3号楼14楼,郑州三生石科技有限公司
236,北京市亦庄经济技术开发区荣昌东街甲5号隆盛大厦C座10层,同源数智(北京)科技有限公司
237,北京海淀区中关村鼎好大厦A座2层义创空间15号,青松智慧(北京)科技有限公司
238,北京市海淀区西二旗上地西路与G7高速红绿灯交叉口东北方向300米,北京世纪盈联科技股份有限公司
239,北京市昌平区霍营地铁首开国风美唐4号楼1312,优保联(北京)科技有限公司
240,北京市朝阳区百子湾路29号院2号楼309室,北京布雷恩科技有限公司
241,北京朝阳区恒通商务园 （无界空间3层）,北京中浦天投科技有限公司
242,海淀区中关村大街1号海龙大厦3层优客工场,北京科浪扑科技发展有限公司
243,朝阳区华贸天地无界空间,北京中浦天投科技有限公司
244,北京市海淀区四道口京果商厦,北京荣新智客教育科技有限公司
245,海淀西三旗 地铁育新站 北京明园大学,北京创客在线教育科技有限公司
246,北京市昌平区沙河沙阳路18号,北京云图智联教育科技有限责任公司
247,朝阳区来广营诚盈中心大厦5号楼8层,北京太一云科技有限公司
248,北京市海淀区中关村东路123号都市网景D座三层 ,混沌时代(北京)教育科技有限公司
249,北京市石景山区石景山路31号院盛景国际广场3号楼610室,北京阿尔山金融科技有限公司
250,北京市海淀区上地三街9号金隅嘉华大厦B710,北京汇才同飞软件技术研究院
251,北京市海淀区中关村sohoB座612,嘉才(北京)企业管理咨询有限公司
252,北京市海淀区清华科技园科建大厦7层,慕华(北京)网络技术有限公司
253,北京市海淀区东北旺西路8号中关村软件园4号楼云基地,北京永信至诚科技股份有限公司
254,北京市朝阳区北三环东路19号中国蓝星大厦七层,北京数智源科技股份有限公司
255,石家庄广安大街时代方舟B8层,河北新龙科技集团股份有限公司
256,北京海淀区清华东路甲7号,东方兴业网络教育服务有限责任公司
258,北京市朝阳区朝外大街乙6号朝外SOHO A座21层,金电联行（北京）信息技术有限公司
259,朝阳区朝阳门大街16号元亨大厦,北京恒信通诚科技有限公司
262,北京市朝阳区林萃桥国际气候大厦,北京朴素磐石投资管理有限公司
264,北京市海淀区永丰产业基地丰慧中路7号新材料创业大厦B205,北京北亚宸星科技有限公司
265,北京市海淀区知春路1号学院国际大厦906,北京数王科技有限公司
266,北京市朝阳区利泽中园106号楼3层308A号,北京卓越讯通科技有限公司
267,北京市顺义区林河南大街9号院26号楼,北京中都格罗唯视物流有限公司
268,北京市东城区东直门大街9号华普花园B座304室,北京艾唯博瑞科技有限公司
269,北京市朝阳区石佛营路保利东郡129号9号楼D座8层,北京造数科技有限公司
271,北京市海淀区中关村南大街12号百成科技楼四层,北京北方金证科技有限公司
273,北京市海淀区永丰屯538号1号楼358室,北京新界教育科技有限公司
274,北京,北京雇德信息科技有限公司
275,北京市昌平区TBD云集中心,国家网络安全应急工程技术研究中心
276,北京市朝阳区北京朝阳区北苑红军营南路15号 瑞普大厦C座905,杭州凡闻科技有限公司
277,北京市朝阳区清河营南街7号院华贸天地四号楼,北京中浦天投科技有限公司
278,北京市海淀区丹棱街创富大厦1505,北京微步在线科技有限公司
279,高新区深圳市南山区高新南五道9号金证股份大楼5F,睿初科技（深圳）有限公司
280,北京市海淀区北四环西路9号银谷大厦812、814室,爱贝睿(北京)科技有限公司
281,北京市顺义区竺园路12号院74号楼（泰达科技园）,北京翔博科技股份有限公司
282,北京市海淀区西三旗东升科技园,南京恒略信息技术有限公司
283,北京市海淀区中关村E世界A1501-1506,苏州美生元信息科技有限公司
285,北京市海淀区王庄路1号清华同方科技广场B座3层,北京朗势科技有限公司
286,北京市海淀区金源时代购物中心B区701,北京江民新科技术有限公司
287,数字传媒大厦,青岛碎片时代信息技术有限公司
288,北京市海淀区蓝靛厂南路55号金威大厦,北京天广汇通科技有限公司
289,北京邮电大学科研楼,北京软安科技有限公司
290,河北廊坊市固安县创业大厦3F,海数盈智教育科技(北京)有限公司
292,清华大学,湖南网数科技有限公司
293,北京市海淀区万柳中路11号派顿大厦六层613室,北京尚客传媒科技有限公司
294,北京市朝阳区望京街10号 望京SOHO T3 B座 2305,玫瑰视界(北京)网络科技有限公司
295,北京市东城区东四十条甲22号南新仓商务大厦A座605号,北京神黄科技股份有限公司
296,朝阳区惠河北路郎家园朗园21号楼（万达广场对面），地铁大望站，或国贸站,北京恒赢智航科技有限公司
297,北京市海淀区西四环北路66号，中国技术交易大厦B座19层,北京弘道智慧中医技术有限公司
298,中青健康产业发展有限公司,中青健康产业发展有限公司
299,北京市海淀区西小口路18号新华创新大厦5层,北京上格云技术有限公司
300,北京市朝阳区来广营乡来广营中街甲一号朝来高科技产业园10号楼4层,北京红枣科技有限公司
301,北京市通州区张家湾镇光华路西侧2层202室 ,北京京诚叁佰壹拾伍度网络科技有限公司
303,北京市朝阳区红军营南路15号瑞普大厦C座1503,明医众禾科技(北京)有限责任公司
304,北京市海淀区西三旗越秀路北京明园大学内华清远见,北京创客在线教育科技有限公司
305,北京市朝阳区百子湾竟园艺术中心1号库,海南大云科技有限公司
306,北京市昌平区吉晟别墅24-16号,北京思能科贸有限公司
308,北京市朝阳区观湖国际大厦1座305室,北京新鸿儒世纪网络技术有限公司
309,北京市朝阳区朝阳北路103号金泰国益大厦20层2002室,北京专脑信息技术有限公司
310,北京昌平区沙河赛迪科技产业园,北京赛博贝斯数据科技有限责任公司
311,北京市丰台区瀚海花园大厦,医源国际医院管理有限公司
318,北京市昌平区沙河顺沙路汇德商厦,北京一天天教育科技有限公司
319,北京市朝阳区光华路5号世纪财富中心,北京艾亿新融资本管理有限公司
321,北京市朝阳区和平里东土城路12号怡和阳光大厦C座,北京互联直通网络科技有限公司
322,北京朝阳区酒仙桥恒通商务园B8二层,世纪乐知（北京）网络技术有限公司
323,北京市海淀区知春路108号豪景大厦A座1401室,北京棣南新宇科技有限公司
324,海淀区,北京未来进程信息技术有限公司
325,北京朝阳区豆各庄乡金田影视产业园18号楼,首汇焦点(北京)科技有限公司
326,北京房山区智汇城：索维智能房山分校,北京索维智能科技有限公司
327,北京石景山创新平台索维智能,北京索维智能科技有限公司
328,北京大数据研究院,北京大数据研究院
329,朝阳区红军营南路15号院1号院瑞普大厦C1103,北京征晨文化传播有限公司
330,北京市朝阳区望京街望京SOHO塔一A座506,北京唯氧绿色科技有限公司
331,北京市石景山区杨庄大街69号中关村科技园首特创业园众创空间二层,北京一路无忧国际商务有限公司
332,北京市朝阳区安翔北里甲11号北京创业大厦B座701室,网帅科技(北京)有限公司
333,北京市朝阳区朝外大街26号朝外MEN大厦B座1607,拍库(北京)科技有限公司
334,北京市朝阳区青年路7号达美中心T2  11层,天津紫龙奇点互动娱乐有限公司北京办事处
335,北京市海淀区永泰庄北路东升国际创业园 1号楼2层优投空间U111室,北京奥德塔数据科技有限公司
336,北京市西城区阜成门外大街2号万通新世界A1008室,北京阿提拉科技有限公司
337,北京市海淀区清华科技园文津国际西塔12B05 ,北京百顺世纪科技有限公司
338,北京朝阳区国家会议中心,沈阳民航东北凯亚有限公司大连分公司
339,北京市海淀区清河小营东路15号,北京振中电子技术有限公司
340,北京市,北京锦龙信安科技有限公司
341,朝阳区东三环北路3号幸福大厦A座1213,昆明达林信息技术有限责任公司
343,北京市海淀区西小口路66号中关村东升科技园A区5号楼2层,北京蓝海讯通科技有限公司
344,北京 西城区,黑龙江一点通科技开发有限公司
345,北京市朝阳区酒仙桥中路10号，京东方科技园区内。,汇中泰德投资有限公司
346,北京市东城区北三环东路33号四层,北京中达金桥技术股份有限公司
351,北京市朝阳区利泽中一路博雅国际中心A座3A01,北京蓝沧科技有限公司
352,北京市朝阳区光华路9号光华路soho二期B座10层10-3.10-5,云和恩墨(北京)信息技术有限公司
353,北京市昌平区回龙观北清路1号珠江摩尔国际大厦3号楼1单元2002室,北京学神科技有限公司
354,北京市昌平区回龙观北清路珠江摩尔国际大厦 8号楼 1单元 612室,北京学神科技有限公司
355,北京市朝阳区东土城12号 怡和阳光大厦C座22层,北京嘉芸汇科技股份有限公司
356,大连市沙河口区软件园,OrangeTree Consultancy
357,海淀区中关村软件园24号楼,甲骨文（中国）软件系统有限公司
358,中关村SOHO A座902,北京必然如此网络技术有限公司
359,朝外soho C座,烟台欣和企业食品有限公司
360,北京市朝阳区立启阳路金辉大厦16层,北京麦达数字技术服务有限公司
362,北京市海淀区五路居中关村互联网文化创意产业园3号楼,北京云途腾科技有限责任公司
363,北京市朝阳区驼房营南路新华科技大厦A座,北京快人科技有限公司
365,北京车势科技有限公司,北京车势科技有限公司
367,北京市-四惠东，北京市-酒仙桥,伯乐易才(北京)管理咨询有限公司
370,北京市海淀区西三环中路10号望海楼,北京中视广信科技有限公司
374,北京市朝阳区阳光100D座优客工场,北京爱悦达管理顾问有限公司
375,北京市朝阳区光华路7号汉威大厦东区10层1007,中智智人信息技术有限公司
378,北京市丰台区丰台北路32号华胜写字楼7栋107 ,北京华诚兴业软件开发有限责任公司
379,北京市朝阳区酒仙桥路4号宏源大厦1201室,北京文脉互动科技有限公司
380,北京市海淀区西山赢府,北京中北信科技发展有限公司
381,北京市海淀区学院路甲5号768创意产业园B座2门2211,国人御康(北京)电子商务有限公司
382,北京市海淀区上地三街9号金隅嘉华大厦,北京创智信科科技股份有限公司
383,北京市海淀区清华园内的清华大学学研综合楼B座七层707室,会听声学科技(北京)有限公司
384,北京市海淀区上地嘉华大厦B座603,北京链上科技有限责任公司
386,回龙观创客广场A座506,北京得瑞领新科技有限公司
387,海淀区健德门,北京中科云智慧环保科技有限公司
388,东城区,深圳市骏昇科技有限公司
389,北京市朝阳区建国路89号华贸商务楼16号楼606,北京山茶花科技有限公司
390,.北京市丰台区丰台科学城航丰路甲4号,龙铁纵横(北京)轨道交通科技股份有限公司
392,北京市海淀区中关村大街18号科贸电子城五层5D09-2 ,北京中祥辉科技有限公司
393,东城区东大地街1号,北京多特蒙咨询服务有限公司
394,北京市朝阳区霄云路28号网信大厦A座,北京原始会投资管理有限公司
395,太阳宫大厦,上海蔓盈信息科技有限公司北京朝阳分公司
396,北京市海淀区上地三街金隅嘉华大厦A座904,北京敏数科技有限公司
397,北京市朝阳区农展馆南路13号,北京闪银信息技术有限公司
398,北京海淀,北京天酬视觉企业形象设计有限公司
400,北京市海淀区西三环北路56号,北京赢家创新谷科技有限责任公司
401,北京市朝阳区双营路甲6号北苑大酒店606,叠云(北京)科技股份有限公司
404,北京市朝阳区北京国家广告产业园区,天下拉手通讯技术有限公司
405,北京市朝阳区常营常惠路4号北辰福第V中心E座503室（地铁6号线常营站下C口出）,北京云端智度科技有限公司
406,朝阳区惠河北路郎家园朗园21号楼,北京恒赢智航科技有限公司
407,北京市东城区和平里东街民旺园,北京思能科贸有限公司
408,广东省深圳市南山区武汉大学产学研大楼,北京微格互动科技有限公司
409,北京市昌平区回龙观8号线育新站向北150米三旗百汇物美大卖场二层F2-015,北京育知同创科技有限公司
410,北京市朝阳区南磨房路37号1701-1703室,北京博睿捷程管理咨询有限责任公司
411,北京市海淀区中关村丹棱街甲1号互联网金融中心17层,伟仕互动(北京)商务信息有限公司
412,北京市海淀区东北旺西路8号中关村软件园17号楼1层B区101室,A10 Networks Inc (Beijing)
413,北京市海淀区学院路7号弘彧大厦六楼,北京赛宁网安科技有限公司
414,北京市朝阳区建国路93号万达广场6号楼1103室,北京超越无限信息技术有限公司
415,北京市海淀区永丰屯538号1号楼355室,北京新界教育科技有限公司
416,北京市东城区雍和宫航星科技园2号楼南侧5层,北京世纪鹤图软件技术有限责任公司
417,北京市朝阳区朝阳公园西里,智线云科技(北京)有限公司
418,北京市海淀区莲花苑5号楼华宝大厦1619室,北京国保金泰信息安全技术有限公司
419,北京市海淀区上地东路5号京蒙高科大厦4号楼A座6层,北京兰云科技有限公司
424,北京东城区广渠门领航国际1号楼1单元2103,北京元信网安科技有限公司
425,北京市通州区万达广场,北京中乙科技有限公司
426,北京市朝阳区亚运村,元贞佑方(北京)科技发展有限公司
427,北京市海淀区中关村鼎好A座3层太库,北京行数通科技有限公司
428,海淀区上地9街9号数码科技广场一层北区企名片,北京企名片科技有限公司
429,北京市海淀区万柳中路11号派顿大厦601室,北京步鼎方舟科技有限公司
430,北京市朝阳区东三环北路东方东路9号东方国际大厦6-7层,欧迪办公网络技术有限公司
432,无,华赢科技(北京)有限公司
433,朝阳区东亚望京中心A座507,北京中科时间科技有限公司
435,朝阳区,南充市华仕政兴人力资源服务有限公司
436,北京市朝阳区三元桥时间国际A座709室,上海趣美金融信息服务有限公司
437,海淀区清华同方科技广场D座东楼1505室,海口斑马互动网络科技有限公司
440,西城区阜成门外大街2号万通新世界B座1706室,明睿(北京)资本管理有限公司
441,知春路锦秋国际大厦,瓦戈科技(上海)有限公司
442,中关村,号外号(北京)科技有限公司
444,北京市朝阳区三元桥时间国际A座709室,上海趣美信息技术有限公司
446,北京双清大厦4座4层,北京万导技术咨询有限公司
447,北京市海淀区魏公村韦伯时代C座4层,北京同城翼龙网络科技有限公司
448,北京市朝阳区绿地中心中国锦20层,天道计然(北京)网络技术有限公司
449,北京市朝阳区中骏世界城Fun work,北京同人创新科技有限公司
451,北京市朝阳区望京soho T1号楼B座2205,北京丽兹行房地产顾问有限公司-BJ1
452,北京市海淀区北四环西路68号左岸工社10层,北京安信天行科技有限公司
454,北京市朝阳区豆各庄金田公园内8号金田影视传媒产业园16-1,视点映画(北京)数字技术有限公司
455,北京,北京中天易观信息技术有限公司
461,北京市朝阳区十里河,北京源润资产投资有限公司
462,天津市南开区南京路309号环球置地广场35层,天津运友物流科技股份有限公司
463,北京丰台区南四环汽车博物馆东路通号产业园区,通号通信信息集团有限公司
464,北京市朝阳区小营路25号房地置业大厦16层,北京盈禾优仕科技有限责任公司
465,北京市亦庄开发区西环南路18号,新博医疗技术有限公司
466,北苑路13号,北京螺思科技有限公司
467,北京市朝阳区北三环东路,时空幻境(北京)科技有限公司
468,北京市朝阳区豆各庄金田公园内8号金田影视传媒产业园,视点映画(北京)数字技术有限公司
469,北京市朝阳区东大桥尚都国际A座2208,国韵(北京)食品销售有限公司
470,北京市朝阳区东大桥宫宵国际中心6-8层,国安社区(北京)科技有限公司
471,朝阳区太阳宫金星园,上海文谛资产管理有限公司
473,北京市朝阳区酒仙桥东路1号院8号楼A厅6层A601,北京航新航宇航空科技有限公司
